Study name,Comparison,Outcome,Time point,Std diff in means                                                                          ,Group-A Sample size ,Group-B Sample size ,Effect direction,Hedges's g,Std Err,treated,age,dose,random/nonr,learning status,outcome test ,pretest pattern control group,type of training,sample age control group,sample age training group,Participants,training dose,program,gray,follow up test,design
"Redick & Wiemers, 2015 comp 1",letters v active,reading comprehension,posttest,0.1875,30,29,1,0.1850,0.2575,treat,adults,small,r,u,Nelson-Denny,x,complex span,20.53,20.59,healthy,10 sessions,Ospan Letters,grey,Blank,Blank
"Redick & Wiemers, 2015 comp 1",letters v active,verbal working memory,posttest,0.4296,30,29,1,0.4239,0.2599,treat,adults,small,r,u,running letter span,Blank,complex span,20.41,20.59,healthy,10 sessions,Ospan Letters,grey,Blank,Blank
"Redick & Wiemers, 2015 comp 1",letters v active,verbal working memory2,posttest,0.3685,30,29,1,0.3636,0.2591,treat,adults,small,r,u,letter 3-back,Blank,complex span,20.53,20.59,healthy,10 sessions,Ospan Letters,grey,Blank,Blank
"Redick & Wiemers, 2015 comp 1",letters v active,visual working memory,posttest,-0.2075,30,29,1,-0.2047,0.2577,treat,adults,small,r,u,running matrix span,Blank,complex span,20.41,20.59,healthy,10 sessions,Ospan Letters,grey,Blank,Blank
"Redick & Wiemers, 2015 comp 1",letters v active,visual working memory1,posttest,-0.1565,30,29,1,-0.1544,0.2574,treat,adults,small,r,u,matrix 3-back,Blank,complex span,20.53,20.59,healthy,10 sessions,Ospan Letters,grey,Blank,Blank
"Redick & Wiemers, 2015 comp 1",letters v active,visual working memory2,posttest,-0.2857,30,29,1,-0.2819,0.2583,treat,adults,small,r,u,color change detection,Blank,complex span,20.41,20.59,healthy,10 sessions,Ospan Letters,grey,Blank,Blank
"Redick & Wiemers, 2015 comp 1",letters v active,visual working memory3,posttest,0.1397,30,29,1,0.1379,0.2573,treat,adults,small,r,u,orient change detection,Blank,complex span,20.53,20.59,healthy,10 sessions,Ospan Letters,grey,Blank,Blank
"Redick & Wiemers, 2015 comp 2",mix v active,reading comprehension,posttest,0.3469,27,29,1,0.3420,0.2657,treat,adults,small,r,u,Nelson-Denny,x,complex span,20.41,20.59,healthy,10 sessions,Ospan Letters/Words/Digits,grey,Blank,Blank
"Redick & Wiemers, 2015 comp 2",mix v active,verbal working memory1,posttest,-0.0916,27,29,1,-0.0903,0.2638,treat,adults,small,r,u,running letter span,Blank,complex span,20.53,20.59,healthy,10 sessions,Ospan Letters/Words/Digits,grey,Blank,Blank
"Redick & Wiemers, 2015 comp 2",mix v active,verbal working memory2,posttest,0.1729,27,29,1,0.1705,0.2642,treat,adults,small,r,u,letter 3-back,Blank,complex span,20.41,20.59,healthy,10 sessions,Ospan Letters/Words/Digits,grey,Blank,Blank
"Redick & Wiemers, 2015 comp 2",mix v active,visual working memory,posttest,-0.2860,27,29,1,-0.2820,0.2650,treat,adults,small,r,u,running matrix span,Blank,complex span,20.53,20.59,healthy,10 sessions,Ospan Letters/Words/Digits,grey,Blank,Blank
"Redick & Wiemers, 2015 comp 2",mix v active,visual working memory1,posttest,0.0361,27,29,1,0.0356,0.2637,treat,adults,small,r,u,matrix 3-back,Blank,complex span,20.41,20.59,healthy,10 sessions,Ospan Letters/Words/Digits,grey,Blank,Blank
"Redick & Wiemers, 2015 comp 2",mix v active,visual working memory2,posttest,-0.0607,27,29,1,-0.0599,0.2638,treat,adults,small,r,u,color change detection,Blank,complex span,20.53,20.59,healthy,10 sessions,Ospan Letters/Words/Digits,grey,Blank,Blank
"Redick & Wiemers, 2015 comp 2",mix v active,visual working memory3,posttest,0.1804,27,29,1,0.1779,0.2642,treat,adults,small,r,u,orient change detection,Blank,complex span,20.41,20.59,healthy,10 sessions,Ospan Letters/Words/Digits,grey,Blank,Blank
"Redick,  et al. 2013 comp 2",Comparison 2 (E vs C),nCattell,posttest,-0.0478,24,20,1,-0.0470,0.2974,untreated,adults,large,n,u,Cattell,Blank,n back,21.2,21.1,"Young Adults across 3 universities with varying academic profiles (wider range of WM abilities & intelligence) GT, GSU, MSU, and ppl not attending one of the 3 colleges",Pretest- 2hr 20min mid- & posttest sessions about 1 hr 40min. 20 sessions lasting 30-40 min. Avg completion for visual search 41 days. Avg completion for dual n-back training 46 days,"Dual n-back training, adaptive, visual and auditory",published,Blank,pretest-training (10 sessions)-midtest--training (training)--posttest. Groups assigned so that 3 multitasks was not significantly dif between groups. Mixed factorial 
"Redick,  et al. 2013 comp 2",Comparison 2 (E vs C),nPaper Folding,posttest,0.3713,24,20,1,0.3646,0.2999,untreated,adults,large,n,u,Paper Folding,Blank,n back,21.2,21.1,"Young Adults across 3 universities with varying academic profiles (wider range of WM abilities & intelligence) GT, GSU, MSU, and ppl not attending one of the 3 colleges",Pretest- 2hr 20min mid- & posttest sessions about 1 hr 40min. 20 sessions lasting 30-40 min. Avg completion for visual search 41 days. Avg completion for dual n-back training 46 days,"Dual n-back training, adaptive, visual and auditory",published,Blank,pretest-training (10 sessions)-midtest--training (training)--posttest. Groups assigned so that 3 multitasks was not significantly dif between groups. Mixed factorial 
"Redick,  et al. 2013 comp 2",Comparison 2 (E vs C),nRaven advanced,posttest,-0.0600,24,20,1,-0.0589,0.2974,untreated,adults,large,n,u,Raven advanced,Blank,n back,21.2,21.1,"Young Adults across 3 universities with varying academic profiles (wider range of WM abilities & intelligence) GT, GSU, MSU, and ppl not attending one of the 3 colleges",Pretest- 2hr 20min mid- & posttest sessions about 1 hr 40min. 20 sessions lasting 30-40 min. Avg completion for visual search 41 days. Avg completion for dual n-back training 46 days,"Dual n-back training, adaptive, visual and auditory",published,Blank,pretest-training (10 sessions)-midtest--training (training)--posttest. Groups assigned so that 3 multitasks was not significantly dif between groups. Mixed factorial 
"Redick,  et al. 2013 comp 2",Comparison 2 (E vs C),nRaven standard,posttest,0.0399,24,20,1,0.0392,0.2974,untreated,adults,large,n,u,Raven standard,Blank,n back,21.2,21.1,"Young Adults across 3 universities with varying academic profiles (wider range of WM abilities & intelligence) GT, GSU, MSU, and ppl not attending one of the 3 colleges",Pretest- 2hr 20min mid- & posttest sessions about 1 hr 40min. 20 sessions lasting 30-40 min. Avg completion for visual search 41 days. Avg completion for dual n-back training 46 days,"Dual n-back training, adaptive, visual and auditory",published,Blank,pretest-training (10 sessions)-midtest--training (training)--posttest. Groups assigned so that 3 multitasks was not significantly dif between groups. Mixed factorial 
"Redick,  et al. 2013 comp 2",Comparison 2 (E vs C),verbal reasoning,posttest,0.3232,24,20,1,0.3174,0.2992,untreated,adults,large,n,u,number series,Blank,n back,21.2,21.1,"Young Adults across 3 universities with varying academic profiles (wider range of WM abilities & intelligence) GT, GSU, MSU, and ppl not attending one of the 3 colleges",Pretest- 2hr 20min mid- & posttest sessions about 1 hr 40min. 20 sessions lasting 30-40 min. Avg completion for visual search 41 days. Avg completion for dual n-back training 46 days,"Dual n-back training, adaptive, visual and auditory",published,Blank,Blank
"Redick,  et al. 2013 comp 2",Comparison 2 (E vs C),verbal reasoning 1,posttest,0.3053,24,20,1,0.2998,0.2990,untreated,adults,large,n,u,General Knowledge,Blank,n back,21.2,21.1,"Young Adults across 3 universities with varying academic profiles (wider range of WM abilities & intelligence) GT, GSU, MSU, and ppl not attending one of the 3 colleges",Pretest- 2hr 20min mid- & posttest sessions about 1 hr 40min. 20 sessions lasting 30-40 min. Avg completion for visual search 41 days. Avg completion for dual n-back training 46 days,"Dual n-back training, adaptive, visual and auditory",published,Blank,pretest-training (10 sessions)-midtest--training (training)--posttest. Groups assigned so that 3 multitasks was not significantly dif between groups. Mixed factorial 
"Redick,  et al. 2013 comp 2",Comparison 2 (E vs C),verbal reasoning 2,posttest,0.2056,24,20,1,0.2019,0.2981,untreated,adults,large,n,u,Verbal Analogies,Blank,n back,21.2,21.1,"Young Adults across 3 universities with varying academic profiles (wider range of WM abilities & intelligence) GT, GSU, MSU, and ppl not attending one of the 3 colleges",Pretest- 2hr 20min mid- & posttest sessions about 1 hr 40min. 20 sessions lasting 30-40 min. Avg completion for visual search 41 days. Avg completion for dual n-back training 46 days,"Dual n-back training, adaptive, visual and auditory",published,Blank,pretest-training (10 sessions)-midtest--training (training)--posttest. Groups assigned so that 3 multitasks was not significantly dif between groups. Mixed factorial 
"Redick,  et al. 2013 comp 2",Comparison 2 (E vs C),verbal reasoning3,posttest,0.1614,24,20,1,0.1585,0.2978,untreated,adults,large,n,u,Inferences,Blank,n back,21.2,21.1,"Young Adults across 3 universities with varying academic profiles (wider range of WM abilities & intelligence) GT, GSU, MSU, and ppl not attending one of the 3 colleges",Pretest- 2hr 20min mid- & posttest sessions about 1 hr 40min. 20 sessions lasting 30-40 min. Avg completion for visual search 41 days. Avg completion for dual n-back training 46 days,"Dual n-back training, adaptive, visual and auditory",published,Blank,pretest-training (10 sessions)-midtest--training (training)--posttest. Groups assigned so that 3 multitasks was not significantly dif between groups. Mixed factorial 
"Redick,  et al. 2013 comp 2",Comparison 2 (E vs C),verbal working memory,posttest,-0.0230,24,20,1,-0.0226,0.2973,untreated,adults,large,n,u,Running Letter span,Blank,n back,21.2,21.1,"Young Adults across 3 universities with varying academic profiles (wider range of WM abilities & intelligence) GT, GSU, MSU, and ppl not attending one of the 3 colleges",Pretest- 2hr 20min mid- & posttest sessions about 1 hr 40min. 20 sessions lasting 30-40 min. Avg completion for visual search 41 days. Avg completion for dual n-back training 46 days,"Dual n-back training, adaptive, visual and auditory",published,Blank,pretest-training (10 sessions)-midtest--training (training)--posttest. Groups assigned so that 3 multitasks was not significantly dif between groups. Mixed factorial 
"Redick,  et al. 2013 comp 2",Comparison 2 (E vs C),visual working memory,posttest,0.2614,24,20,1,0.2567,0.2986,untreated,adults,large,n,u,Symmetry span,Blank,n back,21.2,21.1,"Young Adults across 3 universities with varying academic profiles (wider range of WM abilities & intelligence) GT, GSU, MSU, and ppl not attending one of the 3 colleges",Pretest- 2hr 20min mid- & posttest sessions about 1 hr 40min. 20 sessions lasting 30-40 min. Avg completion for visual search 41 days. Avg completion for dual n-back training 46 days,"Dual n-back training, adaptive, visual and auditory",published,Blank,pretest-training (10 sessions)-midtest--training (training)--posttest. Groups assigned so that 3 multitasks was not significantly dif between groups. Mixed factorial 
"Redick, et al. 2013 comp 1",Comparison 1 (E vs AC),nCattell,posttest,-0.4396,24,29,1,-0.4331,0.2751,treat,adults,large,n,u,Cattell,Blank,n back,20.7,21.1,"Young Adults across 3 universities with varying academic profiles (wider range of WM abilities & intelligence) GT, GSU, MSU, and ppl not attending one of the 3 colleges",Pretest- 2hr 20min mid- & posttest sessions about 1 hr 40min. 20 sessions lasting 30-40 min. Avg completion for visual search 41 days. Avg completion for dual n-back training 46 days,"Dual n-back training, adaptive, visual and auditory",published,Blank,pretest-training (10 sessions)-midtest--training (training)--posttest. Groups assigned so that 3 multitasks was not significantly dif between groups. Mixed factorial 
"Redick, et al. 2013 comp 1",Comparison 1 (E vs AC),nPaper Foldingn,posttest,0.3016,24,29,1,0.2971,0.2734,treat,adults,large,n,u,Paper Folding,Blank,n back,20.7,21.1,"Young Adults across 3 universities with varying academic profiles (wider range of WM abilities & intelligence) GT, GSU, MSU, and ppl not attending one of the 3 colleges",Pretest- 2hr 20min mid- & posttest sessions about 1 hr 40min. 20 sessions lasting 30-40 min. Avg completion for visual search 41 days. Avg completion for dual n-back training 46 days,"Dual n-back training, adaptive, visual and auditory",published,Blank,pretest-training (10 sessions)-midtest--training (training)--posttest. Groups assigned so that 3 multitasks was not significantly dif between groups. Mixed factorial 
"Redick, et al. 2013 comp 1",Comparison 1 (E vs AC),nRaven advanced,posttest,-0.1838,24,29,1,-0.1811,0.2724,treat,adults,large,n,u,Raven advanced,Blank,n back,20.7,21.1,"Young Adults across 3 universities with varying academic profiles (wider range of WM abilities & intelligence) GT, GSU, MSU, and ppl not attending one of the 3 colleges",Pretest- 2hr 20min mid- & posttest sessions about 1 hr 40min. 20 sessions lasting 30-40 min. Avg completion for visual search 41 days. Avg completion for dual n-back training 46 days,"Dual n-back training, adaptive, visual and auditory",published,Blank,pretest-training (10 sessions)-midtest--training (training)--posttest. Groups assigned so that 3 multitasks was not significantly dif between groups. Mixed factorial 
"Redick, et al. 2013 comp 1",Comparison 1 (E vs AC),nRaven standard,posttest,0.0039,24,29,1,0.0038,0.2719,treat,adults,large,n,u,Raven standard,Blank,n back,20.7,21.1,"Young Adults across 3 universities with varying academic profiles (wider range of WM abilities & intelligence) GT, GSU, MSU, and ppl not attending one of the 3 colleges",Pretest- 2hr 20min mid- & posttest sessions about 1 hr 40min. 20 sessions lasting 30-40 min. Avg completion for visual search 41 days. Avg completion for dual n-back training 46 days,"Dual n-back training, adaptive, visual and auditory",published,Blank,pretest-training (10 sessions)-midtest--training (training)--posttest. Groups assigned so that 3 multitasks was not significantly dif between groups. Mixed factorial 
"Redick, et al. 2013 comp 1",Comparison 1 (E vs AC),verbal reasoning,posttest,-0.1213,24,29,1,-0.1195,0.2721,treat,adults,large,n,u,number series,Blank,n back,20.7,21.1,"Young Adults across 3 universities with varying academic profiles (wider range of WM abilities & intelligence) GT, GSU, MSU, and ppl not attending one of the 3 colleges",Pretest- 2hr 20min mid- & posttest sessions about 1 hr 40min. 20 sessions lasting 30-40 min. Avg completion for visual search 41 days. Avg completion for dual n-back training 46 days,"Dual n-back training, adaptive, visual and auditory",published,Blank,pretest-training (10 sessions)-midtest--training (training)--posttest. Groups assigned so that 3 multitasks was not significantly dif between groups. Mixed factorial 
"Redick, et al. 2013 comp 1",Comparison 1 (E vs AC),verbal reasoning 1,posttest,-0.0796,24,29,1,-0.0784,0.2720,treat,adults,large,n,u,General Knowledge,Blank,n back,20.7,21.1,"Young Adults across 3 universities with varying academic profiles (wider range of WM abilities & intelligence) GT, GSU, MSU, and ppl not attending one of the 3 colleges",Pretest- 2hr 20min mid- & posttest sessions about 1 hr 40min. 20 sessions lasting 30-40 min. Avg completion for visual search 41 days. Avg completion for dual n-back training 46 days,"Dual n-back training, adaptive, visual and auditory",published,Blank,pretest-training (10 sessions)-midtest--training (training)--posttest. Groups assigned so that 3 multitasks was not significantly dif between groups. Mixed factorial 
"Redick, et al. 2013 comp 1",Comparison 1 (E vs AC),verbal reasoning 2,posttest,-0.1346,24,29,1,-0.1326,0.2722,treat,adults,large,n,u,Verbal Analogies,Blank,n back,20.7,21.1,"Young Adults across 3 universities with varying academic profiles (wider range of WM abilities & intelligence) GT, GSU, MSU, and ppl not attending one of the 3 colleges",Pretest- 2hr 20min mid- & posttest sessions about 1 hr 40min. 20 sessions lasting 30-40 min. Avg completion for visual search 41 days. Avg completion for dual n-back training 46 days,"Dual n-back training, adaptive, visual and auditory",published,Blank,pretest-training (10 sessions)-midtest--training (training)--posttest. Groups assigned so that 3 multitasks was not significantly dif between groups. Mixed factorial 
"Redick, et al. 2013 comp 1",Comparison 1 (E vs AC),verbal reasoning 3,posttest,0.3160,24,29,1,0.3113,0.2736,treat,adults,large,n,u,Inferences,Blank,n back,20.7,21.1,"Young Adults across 3 universities with varying academic profiles (wider range of WM abilities & intelligence) GT, GSU, MSU, and ppl not attending one of the 3 colleges",Pretest- 2hr 20min mid- & posttest sessions about 1 hr 40min. 20 sessions lasting 30-40 min. Avg completion for visual search 41 days. Avg completion for dual n-back training 46 days,"Dual n-back training, adaptive, visual and auditory",published,Blank,pretest-training (10 sessions)-midtest--training (training)--posttest. Groups assigned so that 3 multitasks was not significantly dif between groups. Mixed factorial 
"Redick, et al. 2013 comp 1",Comparison 1 (E vs AC),verbal working memory,posttest,0.1112,24,29,1,0.1095,0.2721,treat,adults,large,n,u,Running Letter span,Blank,n back,20.7,21.1,"Young Adults across 3 universities with varying academic profiles (wider range of WM abilities & intelligence) GT, GSU, MSU, and ppl not attending one of the 3 colleges",Pretest- 2hr 20min mid- & posttest sessions about 1 hr 40min. 20 sessions lasting 30-40 min. Avg completion for visual search 41 days. Avg completion for dual n-back training 46 days,"Dual n-back training, adaptive, visual and auditory",published,Blank,pretest-training (10 sessions)-midtest--training (training)--posttest. Groups assigned so that 3 multitasks was not significantly dif between groups. Mixed factorial 
"Redick, et al. 2013 comp 1",Comparison 1 (E vs AC),visual working memory,posttest,0.3442,24,29,1,0.3392,0.2739,treat,adults,large,n,u,Symmetry span,Blank,n back,20.7,21.1,"Young Adults across 3 universities with varying academic profiles (wider range of WM abilities & intelligence) GT, GSU, MSU, and ppl not attending one of the 3 colleges",Pretest- 2hr 20min mid- & posttest sessions about 1 hr 40min. 20 sessions lasting 30-40 min. Avg completion for visual search 41 days. Avg completion for dual n-back training 46 days,"Dual n-back training, adaptive, visual and auditory",published,Blank,pretest-training (10 sessions)-midtest--training (training)--posttest. Groups assigned so that 3 multitasks was not significantly dif between groups. Mixed factorial 
"Reimer et al, 2014",active,nonverbal reasoning,posttest,0.0883,16,13,1,0.0859,0.3631,treat,adults,large,r,u,Raven APM,Blank,other,24,24,college students,"21 hours total, over 9 weeks",Brain Train software,grey,Blank,Blank
"Reimer et al, 2014",active,nonverbal working memory,posttest,0.5367,16,13,1,0.5216,0.3693,treat,adults,large,r,u,WRAML Finger Windows,Blank,other,24,24,college students,"21 hours total, over 9 weeks",Brain Train software,grey,Blank,Blank
"Reimer et al, 2014",active,verbal reasoning1,posttest,0.2615,16,13,1,0.2542,0.3645,treat,adults,large,r,u,Letter Sets,Blank,other,24,24,college students,"21 hours total, over 9 weeks",Brain Train software,grey,Blank,Blank
"Reimer et al, 2014",active,verbal reasoning2,posttest,-0.2724,16,13,1,-0.2648,0.3646,treat,adults,large,r,u,Inferences,Blank,other,24,24,college students,"21 hours total, over 9 weeks",Brain Train software,grey,Blank,Blank
"Reimer et al, 2014",active,verbal working memory 3,posttest,0.1817,16,13,1,0.1766,0.3637,treat,adults,large,r,u,WRAML Symbolic Working Memory,Blank,other,24,24,college students,"21 hours total, over 9 weeks",Brain Train software,grey,Blank,Blank
"Reimer et al, 2014",active,verbal working memory1,posttest,0.3597,16,13,1,0.3496,0.3658,treat,adults,large,r,u,WRAML Number Letters,Blank,other,24,24,college students,"21 hours total, over 9 weeks",Brain Train software,grey,Blank,Blank
"Reimer et al, 2014",active,verbal working memory2,posttest,0.5852,15,12,1,0.5675,0.3834,treat,adults,large,r,u,WRAML Verbal Working Memory,Blank,other,24,24,college students,"21 hours total, over 9 weeks",Brain Train software,grey,Blank,Blank
"Reimer et al, 2014",active,verbal working memory4,posttest,0.2004,16,13,1,0.1947,0.3638,treat,adults,large,r,u,Operation span,Blank,other,24,24,college students,"21 hours total, over 9 weeks",Brain Train software,grey,Blank,Blank
"Reimer et al, 2014",active,visual working memory,posttest,0.1749,16,12,1,0.1698,0.3715,treat,adults,large,r,u,Symmetry span,Blank,other,24,24,college students,"21 hours total, over 9 weeks",Brain Train software,grey,Blank,Blank
"Richey,  et al. 2014 comp 1",active,nRaven advanced,posttest,0.2880,25,24,1,0.2833,0.2826,treat,adults,small,n,u,Raven Advanced,Blank,complex span,18-30,18-30,unselected,10 sessions,complex span tasks,published,Blank,non randomized
"Richey,  et al. 2014 comp 1",active,visual working memory,posttest,0.5863,25,24,1,0.5769,0.2872,treat,adults,small,n,u,spatial recognition,Blank,complex span,18-30,18-30,unselected,10 sessions,complex span tasks,published,Blank,non randomized
"Richey,  et al. 2014 comp 2",passive,verbal reasoning,posttest,-0.1903,25,24,1,-0.1872,0.2818,untreated,adults,small,n,u,verbal analogies,Blank,complex span,18-30,18-30,unselected,10 sessions,complex span tasks,published,Blank,non randomized
"Richey,  et al. 2014 comp 2",passive,visual working memory,posttest,0.3991,25,26,1,0.3930,0.2785,untreated,adults,small,n,u,spatial recognition,Blank,complex span,18-30,18-30,unselected,10 sessions,complex span tasks,published,Blank,non randomized
"Richmond, et al. 2011",Blank,nRaven,posttest,-0.4100,21,19,1,-0.4019,0.3136,treat,older adults,small,r,u,Raven,Blank,complex span,66,66,Participants with a minimental state exam with score above 26,20 30 min sessions over 4-5 days,"modelled after Chein and Morrison, 2010",published,Blank,"pre-post test controlgroup, randomized"
"Richmond, et al. 2011",Blank,verbal working memory1,posttest,0.6800,21,19,1,0.6665,0.3192,treat,older adults,small,r,u,Reading span,Blank,complex span,66,66,Participants with a minimental state exam with score above 26,20 30 min sessions over 4-5 days,"modelled after Chein and Morrison, 2010",published,Blank,"pre-post test controlgroup, randomized"
"Richmond, et al. 2011",Blank,verbal working memory2,posttest,-0.5100,21,19,1,-0.4999,0.3153,treat,older adults,small,r,u,bw digit span,Blank,complex span,66,66,Participants with a minimental state exam with score above 26,20 30 min sessions over 4-5 days,"modelled after Chein and Morrison, 2010",published,Blank,Blank
"Rode,  et al. 2014",passive,arithmetic1,posttest,0.0454,156,126,1,0.0453,0.1195,untreated,children,small,n,u,WIAT math,Blank,complex span,3. grade,3. grade,unselected,17 sessions 30 min each,complex wm training consisting of verbal and spatial tasks,published,-,assigned entire classrooms to groups per school
"Rode,  et al. 2014",passive,arithmetic2,posttest,0.1355,156,126,1,0.1352,0.1196,untreated,children,small,n,u,WIAT math,Blank,complex span,3. grade,3. grade,unselected,17 sessions 30 min each,complex wm training consisting of verbal and spatial tasks,published,-,assigned entire classrooms to groups per school
"Rode,  et al. 2014",passive,decoding2,posttest,-0.0543,156,126,1,-0.0542,0.1195,untreated,children,small,n,u,WIAT math,Blank,complex span,3. grade,3. grade,unselected,17 sessions 30 min each,complex wm training consisting of verbal and spatial tasks,published,-,assigned entire classrooms to groups per school
"Rode,  et al. 2014",passive,reading comprehension,posttest,0.1164,156,126,1,0.1161,0.1196,untreated,children,small,n,u,WIAT-II reading comprehension,Blank,complex span,3. grade,3. grade,unselected,17 sessions 30 min each,complex wm training consisting of verbal and spatial tasks,published,-,assigned entire classrooms to groups per school
"Rudebeck,  et al. 2012",Blank,crit,posttest,3.8600,27,28,1,3.8051,0.4498,untreated,adults,small,r,u,n back training task,Blank,n back,25.49,25.36,Neurologically healthy right-handed young volunteers not on any psychoactive medication from Oxfordshire (UK) area.,"20 minutes a day, 5 days a week for 4 weeks. Pretest was a day before training began and the post-training session was no more than 2 days after training was completed. Completed on their home computers","Dual N-Back Spatial Working Memory Task in presentation  (Neurobehavioral Systems  Inc.) Had to monitor 3D scenes and locations. 440 unfamiliar grayscale photographs of indoor and outdoor scenes which did not contain people, objects, or words. Picked specifically because they couldn't be easily encoded verbally. ",published,Blank,"Pretest-training-posttest. Doesn't specify how those were assigned to training vs control. Does state that there was no significant difference in terms of age, educationa, verbal IQ, and BDI."
"Rudebeck,  et al. 2012",Blank,nBOMAT,posttest,0.7167,27,28,1,0.7065,0.2743,untreated,adults,small,r,u,BOMAT,Blank,n back,25.49,25.36,Neurologically healthy right-handed young volunteers not on any psychoactive medication from Oxfordshire (UK) area.,"20 minutes a day, 5 days a week for 4 weeks. Pretest was a day before training began and the post-training session was no more than 2 days after training was completed. Completed on their home computers","Dual N-Back Spatial Working Memory Task in presentation  (Neurobehavioral Systems  Inc.) Had to monitor 3D scenes and locations. 440 unfamiliar grayscale photographs of indoor and outdoor scenes which did not contain people, objects, or words. Picked specifically because they couldn't be easily encoded verbally. ",published,Blank,"Pretest-training-posttest. Doesn't specify how those were assigned to training vs control. Does state that there was no significant difference in terms of age, educationa, verbal IQ, and BDI."
"Salminen,  et al. 2012",Blank,crit,posttest,5.7400,20,16,1,5.6124,0.7383,untreated,adults,large,r,u,n back,Blank,n back,24.5,24.4,Recruited via announcement on bulletinboard in Psy Dpt at Ludwig-Maximilians University(LMU)Munich,14 Daily training sesssions (excluding weekends),Dual n back program was part software Brain Twister (Buschkuehl) while the materials were utilized the material described by Jaeggi and colleagues. AV and VS stimuli. AV stimuli consisted of 8 German consonants and spoken in random order via headphones. VS stimuli were blue squares presented one by one on a black background in 8 possible locations.,published,Blank,pretest-training-posttest. Randomly designed
"Salminen,  et al. 2012",Blank,nRAPM,posttest,-0.7063,13,9,1,-0.6795,0.4296,untreated,adults,large,r,u,RAPM,Blank,n back,24.5,24.4,Recruited via announcement on bulletinboard in Psy Dpt at Ludwig-Maximilians University(LMU)Munich,14 Daily training sesssions (excluding weekends),Dual n back program was part software Brain Twister (Buschkuehl) while the materials were utilized the material described by Jaeggi and colleagues. AV and VS stimuli. AV stimuli consisted of 8 German consonants and spoken in random order via headphones. VS stimuli were blue squares presented one by one on a black background in 8 possible locations.,published,Blank,pretest-training-posttest. Randomly designed
"Savage, 2013",Blank,n catell,posttest,0.2312,23,27,1,0.2275,0.2802,treat,adults,small,r,u,Cattell,Blank,n back,aged 30-60,aged 30-60,heathy self referred adults,20-30 minutes a day 5 days a week for 5 weeks,lumnosity,grey,Blank,randomised
"Savage, 2013",Blank,nRAPM,posttest,-0.1077,23,27,1,-0.1060,0.2795,treat,adults,small,r,u,raven SPM,Blank,n back,aged 30-60,aged 30-60,heathy self referred adults,20-30 minutes a day 5 days a week for 5 weeks,lumnosity,grey,Blank,randomised
"Savage, 2013",Blank,verbal working memory1,posttest,-0.0883,23,27,1,-0.0869,0.2794,treat,adults,small,r,u,Digit span forward/backward,Blank,n back,aged 30-60,aged 30-60,heathy self referred adults,20-30 minutes a day 5 days a week for 5 weeks,lumnosity,grey,Blank,randomised
"Savage, 2013",Blank,verbal working memory2,posttest,0.0834,23,26,1,0.0820,0.2818,treat,adults,small,r,u,Operation span,Blank,n back,aged 30-60,aged 30-60,heathy self referred adults,20-30 minutes a day 5 days a week for 5 weeks,lumnosity,grey,Blank,randomised
"Savage, 2013",Blank,visual working memory,posttest,-0.5326,23,27,1,-0.5242,0.2842,treat,adults,small,r,u,spatial maintenance,Blank,n back,aged 30-60,aged 30-60,heathy self referred adults,20-30 minutes a day 5 days a week for 5 weeks,lumnosity,grey,Blank,randomised
"Schwarb et al, 2015 comp 1",com 1 spatial vs passive,nCattell,posttest,0.3519,22,22,1,0.3456,0.2984,untreated,adults,small,r,u,Cattell,Blank,n back,18-32,18-32,unselected,10 sessions,spatial wm training,published,Blank,random
"Schwarb et al, 2015 comp 1",com 1 spatial vs passive,nRaven advanced,posttest,0.0700,22,22,1,0.0687,0.2962,untreated,adults,small,r,u,Raven Advanced,Blank,n back,18-32,18-32,unselected,10 sessions,spatial wm training,published,Blank,random
"Schwarb et al, 2015 comp 1",com 1 spatial vs passive,verbal working memory,posttest,0.4545,21,21,1,0.4459,0.3067,untreated,adults,small,r,u,operation span,Blank,n back,18-32,18-32,unselected,10 sessions,spatial wm training,published,Blank,random
"Schwarb et al, 2015 comp 1",com 1 spatial vs passive,visual working memory 1,posttest,0.1319,21,21,1,0.1294,0.3031,untreated,adults,small,r,u,symmetry span,Blank,n back,18-32,18-32,unselected,10 sessions,spatial wm training,published,Blank,random
"Schwarb et al, 2015 comp 1",com 1 spatial vs passive,visual working memory 2,posttest,1.0601,22,22,1,1.0410,0.3162,untreated,adults,small,r,u,change detection,Blank,n back,18-32,18-32,unselected,10 sessions,spatial wm training,published,Blank,random
"Schwarb et al, 2015 comp 2",com 2 verbal vs passive,nCattell,posttest,-0.0592,22,22,1,-0.0582,0.2962,untreated,adults,small,r,u,Cattell,Blank,n back,18-32,18-32,unselected,10 sessions,verbal wm training,published,Blank,random
"Schwarb et al, 2015 comp 2",com 2 verbal vs passive,nRaven advanced,posttest,0.5073,22,22,1,0.4982,0.3008,untreated,adults,small,r,u,Raven Advanced,Blank,n back,18-32,18-32,unselected,10 sessions,verbal wm training,published,Blank,random
"Schwarb et al, 2015 comp 2",com 2 verbal vs passive,verbal working memory,posttest,0.4814,22,21,1,0.4725,0.3038,untreated,adults,small,r,u,operation span,Blank,n back,18-32,18-32,unselected,10 sessions,verbal wm training,published,Blank,random
